P,m,T,X1,X2,X3
4,2048,68.963781608,6,12288,6144
4,2560,86.159059784,6,15360,7680
4,3072,103.354337961,6,18432,9216
4,3584,120.549616138,6,21504,10752
4,4096,137.744894315,6,24576,12288
4,4608,154.940172491,6,27648,13824
4,5120,172.135450668,6,30720,15360
4,5632,189.330728845,6,33792,16896
4,6144,206.526007021,6,36864,18432
4,6656,223.721285198,6,39936,19968
4,7168,240.916563375,6,43008,21504
4,7680,258.111841551,6,46080,23040
8,2048,160.915479461,14,28672,14336
8,2560,201.037795207,14,35840,17920
8,3072,241.160110953,14,43008,21504
8,3584,281.282426699,14,50176,25088
8,4096,321.404742444,14,57344,28672
8,4608,361.527058190,14,64512,32256
8,5120,401.649373936,14,71680,35840
8,5632,441.771689681,14,78848,39424
8,6144,481.894005426,14,86016,43008
8,6656,522.016321172,14,93184,46592
8,7168,562.138636917,14,100352,50176
8,7680,602.260952663,14,107520,53760
16,2048,344.818875170,30,61440,30720
16,2560,430.795266054,30,76800,38400
16,3072,516.771656939,30,92160,46080
16,3584,602.748047820,30,107520,53760
16,4096,688.724438704,30,122880,61440
16,4608,774.700829586,30,138240,69120
16,5120,860.677220469,30,153600,76800
16,5632,946.653611351,30,168960,84480
16,6144,1032.630002234,30,184320,92160
16,6656,1118.606393117,30,199680,99840
16,7168,1204.582784002,30,215040,107520
16,7680,1290.559174883,30,230400,115200
32,2048,712.625658524,62,126976,63488
32,2560,890.310199685,62,158720,79360
32,3072,1067.994740844,62,190464,95232
32,3584,1245.679282004,62,222208,111104
32,4096,1423.363823163,62,253952,126976
32,4608,1601.048364319,62,285696,142848
32,5120,1778.732905476,62,317440,158720
32,5632,1956.417446634,62,349184,174592
32,6144,2134.101987791,62,380928,190464
32,6656,2311.786528952,62,412672,206336
32,7168,2489.471070109,62,444416,222208
32,7680,2667.155611269,62,476160,238080
64,2048,1448.239221202,126,258048,129024
64,2560,1809.340062911,126,322560,161280
64,3072,2170.440904621,126,387072,193536
64,3584,2531.541746330,126,451584,225792
64,4096,2892.642588040,126,516096,258048
64,4608,3253.743429752,126,580608,290304
64,5120,3614.844271467,126,645120,322560
64,5632,3975.945113172,126,709632,354816
64,6144,4337.045954890,126,774144,387072
64,6656,4698.146796604,126,838656,419328
64,7168,5059.247638306,126,903168,451584
64,7680,5420.348480013,126,967680,483840
128,2048,2919.466330465,254,520192,260096
128,2560,3647.399773259,254,650240,325120
128,3072,4375.333216076,254,780288,390144
128,3584,5103.266658884,254,910336,455168
128,4096,5831.200101700,254,1040384,520192
128,4608,6559.133544509,254,1170432,585216
128,5120,7287.066987326,254,1300480,650240
128,5632,8015.000430130,254,1430528,715264
128,6144,8742.933872944,254,1560576,780288
128,6656,9470.867315773,254,1690624,845312
128,7168,10198.800758570,254,1820672,910336
128,7680,10926.734201390,254,1950720,975360
256,2048,5861.920563186,510,1044480,522240
256,2560,7323.519208215,510,1305600,652800
256,3072,8785.117853219,510,1566720,783360
256,3584,10246.716498231,510,1827840,913920
256,4096,11708.315143253,510,2088960,1044480
256,4608,13169.913788264,510,2350080,1175040
256,5120,14631.512433278,510,2611200,1305600
256,5632,16093.111078292,510,2872320,1436160
256,6144,17554.709723303,510,3133440,1566720
256,6656,19016.308368332,510,3394560,1697280
256,7168,20477.907013328,510,3655680,1827840
256,7680,21939.505658368,510,3916800,1958400
512,2048,11746.829125066,1022,2093056,1046528
512,2560,14675.758174498,1022,2616320,1308160
512,3072,17604.687223921,1022,3139584,1569792
512,3584,20533.616273345,1022,3662848,1831424
512,4096,23462.545322756,1022,4186112,2093056
512,4608,26391.474372197,1022,4709376,2354688
512,5120,29320.403421609,1022,5232640,2616320
512,5632,32249.332471016,1022,5755904,2877952
512,6144,35178.261520436,1022,6279168,3139584
512,6656,38107.190569860,1022,6802432,3401216
512,7168,41036.119619291,1022,7325696,3662848
512,7680,43965.048668741,1022,7848960,3924480
1024,2048,23516.646273009,2046,4190208,2095104
1024,2560,29380.236131249,2046,5237760,2618880
1024,3072,35243.825989519,2046,6285312,3142656
1024,3584,41107.415847735,2046,7332864,3666432
1024,4096,46971.005705990,2046,8380416,4190208
1024,4608,52834.595564203,2046,9427968,4713984
1024,5120,58698.185422367,2046,10475520,5237760
1024,5632,64561.775280604,2046,11523072,5761536
1024,6144,70425.365138821,2046,12570624,6285312
1024,6656,76288.954997053,2046,13618176,6809088
1024,7168,82152.544855637,2046,14665728,7332864
1024,7680,88016.134713848,2046,15713280,7856640
