P,m,T,X1,X2,X3
4,8192,0.002385235,4,12288,6144
4,8320,0.002421308,4,12480,6240
4,8448,0.002457403,4,12672,6336
4,8576,0.002493507,4,12864,6432
4,8704,0.002529614,4,13056,6528
4,8832,0.002565727,4,13248,6624
4,8960,0.002601835,4,13440,6720
4,9088,0.002637946,4,13632,6816
4,9216,0.002674057,4,13824,6912
4,9344,0.002710170,4,14016,7008
4,9472,0.002746282,4,14208,7104
4,9600,0.002782391,4,14400,7200
4,9728,0.002818504,4,14592,7296
4,9856,0.002854615,4,14784,7392
4,9984,0.002890723,4,14976,7488
4,10112,0.002926834,4,15168,7584
4,10240,0.002962945,4,15360,7680
4,10368,0.002999056,4,15552,7776
4,10496,0.003035167,4,15744,7872
4,10624,0.003071278,4,15936,7968
4,10752,0.003107389,4,16128,8064
4,10880,0.003143500,4,16320,8160
4,11008,0.003179611,4,16512,8256
4,11136,0.003215721,4,16704,8352
4,11264,0.003251833,4,16896,8448
4,11392,0.003287943,4,17088,8544
4,11520,0.003324055,4,17280,8640
4,11648,0.003360167,4,17472,8736
4,11776,0.003396280,4,17664,8832
4,11904,0.003432390,4,17856,8928
4,12032,0.003468499,4,18048,9024
4,12160,0.003504609,4,18240,9120
4,12288,0.003540721,4,18432,9216
4,12416,0.003576832,4,18624,9312
4,12544,0.003612944,4,18816,9408
4,12672,0.003649054,4,19008,9504
4,12800,0.003685165,4,19200,9600
4,12928,0.003721279,4,19392,9696
4,13056,0.003757387,4,19584,9792
4,13184,0.003793498,4,19776,9888
4,13312,0.003829609,4,19968,9984
4,13440,0.003865725,4,20160,10080
4,13568,0.003901839,4,20352,10176
4,13696,0.003937958,4,20544,10272
4,13824,0.003974058,4,20736,10368
4,13952,0.004010164,4,20928,10464
4,14080,0.004046276,4,21120,10560
4,14208,0.004082388,4,21312,10656
4,14336,0.004118496,4,21504,10752
4,14464,0.004154608,4,21696,10848
4,14592,0.004190718,4,21888,10944
4,14720,0.004226830,4,22080,11040
4,14848,0.004262941,4,22272,11136
4,14976,0.004299052,4,22464,11232
4,15104,0.004335163,4,22656,11328
4,15232,0.004371274,4,22848,11424
4,15360,0.004407385,4,23040,11520
4,15488,0.004443496,4,23232,11616
4,15616,0.004479607,4,23424,11712
4,15744,0.004515717,4,23616,11808
4,15872,0.004551829,4,23808,11904
4,16000,0.004587939,4,24000,12000
4,16128,0.004624050,4,24192,12096
4,16256,0.004660162,4,24384,12192
4,16384,0.003965897,4,24576,12288
4,16512,0.003995794,4,24768,12384
4,16640,0.004025691,4,24960,12480
