P,m,T,X1,X2,X3
4,8192,0.002448630,6,12288,6144
4,8320,0.002484748,6,12480,6240
4,8448,0.002520843,6,12672,6336
4,8576,0.002556952,6,12864,6432
4,8704,0.002593062,6,13056,6528
4,8832,0.002629172,6,13248,6624
4,8960,0.002665282,6,13440,6720
4,9088,0.002701392,6,13632,6816
4,9216,0.002737502,6,13824,6912
4,9344,0.002773612,6,14016,7008
4,9472,0.002809722,6,14208,7104
4,9600,0.002845833,6,14400,7200
4,9728,0.002881943,6,14592,7296
4,9856,0.002918053,6,14784,7392
4,9984,0.002954163,6,14976,7488
4,10112,0.002990273,6,15168,7584
4,10240,0.003026383,6,15360,7680
4,10368,0.003062493,6,15552,7776
4,10496,0.003098604,6,15744,7872
4,10624,0.003134713,6,15936,7968
4,10752,0.003170823,6,16128,8064
4,10880,0.003206933,6,16320,8160
4,11008,0.003243043,6,16512,8256
4,11136,0.003279153,6,16704,8352
4,11264,0.003315264,6,16896,8448
4,11392,0.003351374,6,17088,8544
4,11520,0.003387484,6,17280,8640
4,11648,0.003423594,6,17472,8736
4,11776,0.003459704,6,17664,8832
4,11904,0.003495813,6,17856,8928
4,12032,0.003531924,6,18048,9024
4,12160,0.003568034,6,18240,9120
4,12288,0.003604144,6,18432,9216
4,12416,0.003640254,6,18624,9312
4,12544,0.003676364,6,18816,9408
4,12672,0.003712474,6,19008,9504
4,12800,0.003748585,6,19200,9600
4,12928,0.003784695,6,19392,9696
4,13056,0.003820804,6,19584,9792
4,13184,0.003856915,6,19776,9888
4,13312,0.003893025,6,19968,9984
4,13440,0.003929135,6,20160,10080
4,13568,0.003965245,6,20352,10176
4,13696,0.004001355,6,20544,10272
4,13824,0.004037465,6,20736,10368
4,13952,0.004073575,6,20928,10464
4,14080,0.004109685,6,21120,10560
4,14208,0.004145796,6,21312,10656
4,14336,0.004181906,6,21504,10752
4,14464,0.004218016,6,21696,10848
4,14592,0.004254126,6,21888,10944
4,14720,0.004290236,6,22080,11040
4,14848,0.004326346,6,22272,11136
4,14976,0.004362456,6,22464,11232
4,15104,0.004398566,6,22656,11328
4,15232,0.004434676,6,22848,11424
4,15360,0.004470786,6,23040,11520
4,15488,0.004506896,6,23232,11616
4,15616,0.004543007,6,23424,11712
4,15744,0.004579117,6,23616,11808
4,15872,0.004615227,6,23808,11904
4,16000,0.004651337,6,24000,12000
4,16128,0.004687447,6,24192,12096
4,16256,0.004723557,6,24384,12192
4,16384,0.004759667,6,24576,12288
4,16512,0.004795774,6,24768,12384
4,16640,0.004831887,6,24960,12480
4,16768,0.004867997,6,25152,12576
4,16896,0.004904107,6,25344,12672
4,17024,0.004940217,6,25536,12768
4,17152,0.004976327,6,25728,12864
4,17280,0.005012438,6,25920,12960
4,17408,0.005048548,6,26112,13056
4,17536,0.005084658,6,26304,13152
4,17664,0.005120768,6,26496,13248
4,17792,0.005156878,6,26688,13344
4,17920,0.005192988,6,26880,13440
4,18048,0.005229098,6,27072,13536
4,18176,0.005265208,6,27264,13632
4,18304,0.005301318,6,27456,13728
4,18432,0.005337429,6,27648,13824
4,18560,0.005373539,6,27840,13920
4,18688,0.005409649,6,28032,14016
4,18816,0.005445759,6,28224,14112
4,18944,0.005481869,6,28416,14208
4,19072,0.005517979,6,28608,14304
4,19200,0.005554089,6,28800,14400
4,19328,0.005590200,6,28992,14496
4,19456,0.005626310,6,29184,14592
4,19584,0.005662419,6,29376,14688
4,19712,0.005698529,6,29568,14784
4,19840,0.005734639,6,29760,14880
4,19968,0.005770749,6,29952,14976
4,20096,0.005806859,6,30144,15072
4,20224,0.005842970,6,30336,15168
4,20352,0.005879080,6,30528,15264
4,20480,0.005915190,6,30720,15360
4,20608,0.005951300,6,30912,15456
4,20736,0.005987410,6,31104,15552
4,20864,0.006023520,6,31296,15648
8,8192,0.001982079,14,14336,7168
